"language","form","measure","age","identity","0.10","0.25","0.50","0.75","0.90"
"English (American)","WS","production",16,"All Data",8.75330924497173,17.9999999999735,35.000000003657,70.0000000000112,128.999999999998
"English (American)","WS","production",17,"All Data",10.3818327121778,23.0256410256208,52.9562552997107,121.783339645661,202.999999999886
"English (American)","WS","production",18,"All Data",14.0000000000377,31.8675213675077,76.2750070644485,172.653374492304,271.106691459384
"English (American)","WS","production",19,"All Data",19.6078111085511,44.5256410256334,104.95625529787,222.610104539939,333.320074378492
"English (American)","WS","production",20,"All Data",27.2052660377183,60.9999999999981,138.999999999975,271.653529788567,389.64014875721
"English (American)","WS","production",21,"All Data",36.7941611218752,81.2905982906019,178.406241170764,319.783650238187,440.066914595539
"English (American)","WS","production",22,"All Data",48.9999999998855,105.397435897444,223.173791373602,367,484.600371893479
"English (American)","WS","production",23,"All Data",64.5330692417549,133.320512820525,270.438117172063,412.178684115282,523.240520651028
"English (American)","WS","production",24,"All Data",83.3996038626997,165.059829059843,316.036066955486,453.686296931251,556.000000000009
"English (American)","WS","production",25,"All Data",105.599603862721,200.6153846154,359.890027898148,491.492387184027,583.556772912382
"English (American)","WS","production",26,"All Data",131.133069241819,239.987179487195,402.000000000046,525.59695487361,606.377324345569
"English (American)","WS","production",27,"All Data",159.999999999994,283.175213675227,442.365983261182,555.999999999999,624.461847671837
"English (American)","WS","production",28,"All Data",192.200396137245,330.179487179497,480.987977681554,582.701522563194,637.810342891188
"English (American)","WS","production",29,"All Data",227.734257653571,381.000000000004,517.865983261162,605.701522563194,646.42281000362
"English (American)","WS","production",30,"All Data",266.60158454897,435.636752136747,553.000000000007,625,650.299249009135
