"language","form","measure","age","identity","0.10","0.25","0.50","0.75","0.90"
"Spanish (Mexican)","WS","production",16,"All Data",8.92763082282467,15.9511480184809,28.8761816396818,80.1772813082681,191.974358902258
"Spanish (Mexican)","WS","production",17,"All Data",10.0916386707595,21.2072381760507,48.3441520097601,125.310971811302,266.325990971117
"Spanish (Mexican)","WS","production",18,"All Data",12.6777697293666,28.9663847952252,69.3798826180163,168.651745643525,332.296245271157
"Spanish (Mexican)","WS","production",19,"All Data",16.6860239986456,39.2285878760046,91.9833734644502,210.199602804946,389.885121802392
"Spanish (Mexican)","WS","production",20,"All Data",22.1164014785958,51.9938474183896,116.154624549062,249.954543295581,439.092620564841
"Spanish (Mexican)","WS","production",21,"All Data",28.9689021692164,67.2621634223803,141.893635871849,287.916567115442,479.923237989167
"Spanish (Mexican)","WS","production",22,"All Data",37.2435260705071,85.0335358879763,169.20040743281,324.085674264544,513.942681335101
"Spanish (Mexican)","WS","production",23,"All Data",46.9402731824674,105.307964815177,198.07493923194,358.461864742897,542.928879251133
"Spanish (Mexican)","WS","production",24,"All Data",58.0591435050972,128.085450203984,228.517231269232,391.04513855051,566.897438694672
"Spanish (Mexican)","WS","production",25,"All Data",70.6001370383964,152.409477155485,260.527283544678,421.835495687388,585.84835966575
"Spanish (Mexican)","WS","production",26,"All Data",84.5632537823656,176.024466560315,294.105096058272,450.832936153537,599.781642164408
"Spanish (Mexican)","WS","production",27,"All Data",99.9484937370043,198.808958722484,329.250668810009,478.037459948961,609.19409637981
"Spanish (Mexican)","WS","production",28,"All Data",116.755856902313,220.762953641989,365.964001799888,503.449067073668,615.983801711988
"Spanish (Mexican)","WS","production",29,"All Data",134.985343278293,241.886451318832,404.245095027908,527.067757527665,620.364528746398
"Spanish (Mexican)","WS","production",30,"All Data",154.636952864942,262.179451753013,444.093948494069,548.893531310963,622.336277483085
