"data_id","age","language","form","birth_order","ethnicity","sex","zygosity","original_id","norming","longitudinal","source_name","mom_ed","measure","vocab","cross_sectional","demo","n","demo_label"
171576,9,"Spanish (Mexican)","WG","First",NA,"Male",NA,"1",TRUE,FALSE,"Marchman","Secondary","production",1,TRUE,"All Data",760,"All Data (n = 760)"
171577,9,"Spanish (Mexican)","WG","First",NA,"Male",NA,"2",TRUE,FALSE,"Marchman","College","production",13,TRUE,"All Data",760,"All Data (n = 760)"
171578,11,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"4",TRUE,FALSE,"Marchman","College","production",0,TRUE,"All Data",760,"All Data (n = 760)"
171579,11,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"5",TRUE,FALSE,"Marchman","College","production",0,TRUE,"All Data",760,"All Data (n = 760)"
171580,11,"Spanish (Mexican)","WG","First",NA,"Male",NA,"6",TRUE,FALSE,"Marchman","Secondary","production",6,TRUE,"All Data",760,"All Data (n = 760)"
171581,11,"Spanish (Mexican)","WG","Third",NA,"Male",NA,"7",TRUE,FALSE,"Marchman","College","production",5,TRUE,"All Data",760,"All Data (n = 760)"
171582,11,"Spanish (Mexican)","WG","First",NA,"Male",NA,"8",TRUE,FALSE,"Marchman","Secondary","production",0,TRUE,"All Data",760,"All Data (n = 760)"
171583,10,"Spanish (Mexican)","WG","First",NA,"Male",NA,"9",TRUE,FALSE,"Marchman","College","production",5,TRUE,"All Data",760,"All Data (n = 760)"
171584,11,"Spanish (Mexican)","WG","First",NA,"Male",NA,"10",TRUE,FALSE,"Marchman","College","production",4,TRUE,"All Data",760,"All Data (n = 760)"
171585,15,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"11",TRUE,FALSE,"Marchman","College","production",1,TRUE,"All Data",760,"All Data (n = 760)"
171586,15,"Spanish (Mexican)","WG","First",NA,"Male",NA,"12",TRUE,FALSE,"Marchman","College","production",20,TRUE,"All Data",760,"All Data (n = 760)"
171587,14,"Spanish (Mexican)","WG","Third",NA,"Male",NA,"13",TRUE,FALSE,"Marchman","Secondary","production",15,TRUE,"All Data",760,"All Data (n = 760)"
171588,16,"Spanish (Mexican)","WG","First",NA,"Male",NA,"14",TRUE,FALSE,"Marchman","College","production",27,TRUE,"All Data",760,"All Data (n = 760)"
171589,15,"Spanish (Mexican)","WG","First",NA,"Male",NA,"15",TRUE,FALSE,"Marchman","College","production",23,TRUE,"All Data",760,"All Data (n = 760)"
171590,14,"Spanish (Mexican)","WG","First",NA,"Male",NA,"16",TRUE,FALSE,"Marchman","Secondary","production",33,TRUE,"All Data",760,"All Data (n = 760)"
171591,13,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"17",TRUE,FALSE,"Marchman","College","production",4,TRUE,"All Data",760,"All Data (n = 760)"
171592,14,"Spanish (Mexican)","WG","First",NA,"Male",NA,"18",TRUE,FALSE,"Marchman","College","production",10,TRUE,"All Data",760,"All Data (n = 760)"
171593,12,"Spanish (Mexican)","WG","Third",NA,"Male",NA,"19",TRUE,FALSE,"Marchman",NA,"production",7,TRUE,"All Data",760,"All Data (n = 760)"
171594,13,"Spanish (Mexican)","WG","Third",NA,"Male",NA,"20",TRUE,FALSE,"Marchman","College","production",0,TRUE,"All Data",760,"All Data (n = 760)"
171595,13,"Spanish (Mexican)","WG","Third",NA,"Male",NA,"21",TRUE,FALSE,"Marchman","Some Secondary","production",1,TRUE,"All Data",760,"All Data (n = 760)"
171596,12,"Spanish (Mexican)","WG","First",NA,"Male",NA,"22",TRUE,FALSE,"Marchman","College","production",5,TRUE,"All Data",760,"All Data (n = 760)"
171597,12,"Spanish (Mexican)","WG","First",NA,"Male",NA,"23",TRUE,FALSE,"Marchman","Secondary","production",0,TRUE,"All Data",760,"All Data (n = 760)"
171598,13,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"24",TRUE,FALSE,"Marchman","College","production",7,TRUE,"All Data",760,"All Data (n = 760)"
171599,12,"Spanish (Mexican)","WG","First",NA,"Male",NA,"25",TRUE,FALSE,"Marchman","College","production",12,TRUE,"All Data",760,"All Data (n = 760)"
