"data_id","age","language","form","birth_order","ethnicity","sex","zygosity","original_id","norming","longitudinal","source_name","mom_ed","measure","vocab","cross_sectional","demo","n","demo_label"
170402,20,"Spanish (Mexican)","WS","Second",NA,"Male",NA,"1",TRUE,FALSE,"Marchman","Some Secondary","production",52,TRUE,"All Data",1092,"All Data (n = 1092)"
170403,22,"Spanish (Mexican)","WS","Third",NA,"Female",NA,"2",TRUE,FALSE,"Marchman","College","production",26,TRUE,"All Data",1092,"All Data (n = 1092)"
170404,22,"Spanish (Mexican)","WS","Second",NA,"Female",NA,"3",TRUE,FALSE,"Marchman","Secondary","production",403,TRUE,"All Data",1092,"All Data (n = 1092)"
170405,21,"Spanish (Mexican)","WS","First",NA,"Female",NA,"4",TRUE,FALSE,"Marchman","College","production",566,TRUE,"All Data",1092,"All Data (n = 1092)"
170406,21,"Spanish (Mexican)","WS","First",NA,"Male",NA,"5",TRUE,FALSE,"Marchman","College","production",286,TRUE,"All Data",1092,"All Data (n = 1092)"
170407,22,"Spanish (Mexican)","WS","Second",NA,"Female",NA,"7",TRUE,FALSE,"Marchman","College","production",32,TRUE,"All Data",1092,"All Data (n = 1092)"
170408,22,"Spanish (Mexican)","WS","First",NA,"Female",NA,"8",TRUE,FALSE,"Marchman","College","production",195,TRUE,"All Data",1092,"All Data (n = 1092)"
170409,22,"Spanish (Mexican)","WS","Second",NA,"Male",NA,"9",TRUE,FALSE,"Marchman","College","production",32,TRUE,"All Data",1092,"All Data (n = 1092)"
170410,21,"Spanish (Mexican)","WS","Fourth",NA,"Female",NA,"10",TRUE,FALSE,"Marchman","College","production",286,TRUE,"All Data",1092,"All Data (n = 1092)"
170411,20,"Spanish (Mexican)","WS","First",NA,"Female",NA,"11",TRUE,FALSE,"Marchman","Secondary","production",199,TRUE,"All Data",1092,"All Data (n = 1092)"
170412,21,"Spanish (Mexican)","WS","First",NA,"Male",NA,"12",TRUE,FALSE,"Marchman","College","production",111,TRUE,"All Data",1092,"All Data (n = 1092)"
170413,20,"Spanish (Mexican)","WS","Second",NA,"Male",NA,"13",TRUE,FALSE,"Marchman","College","production",11,TRUE,"All Data",1092,"All Data (n = 1092)"
170414,20,"Spanish (Mexican)","WS","First",NA,"Male",NA,"14",TRUE,FALSE,"Marchman","Secondary","production",79,TRUE,"All Data",1092,"All Data (n = 1092)"
170415,22,"Spanish (Mexican)","WS","First",NA,"Male",NA,"16",TRUE,FALSE,"Marchman","College","production",468,TRUE,"All Data",1092,"All Data (n = 1092)"
170416,20,"Spanish (Mexican)","WS","Second",NA,"Female",NA,"19",TRUE,FALSE,"Marchman","Secondary","production",75,TRUE,"All Data",1092,"All Data (n = 1092)"
170417,20,"Spanish (Mexican)","WS","Second",NA,"Female",NA,"20",TRUE,FALSE,"Marchman","College","production",47,TRUE,"All Data",1092,"All Data (n = 1092)"
170418,22,"Spanish (Mexican)","WS","Second",NA,"Female",NA,"21",TRUE,FALSE,"Marchman","Some Secondary","production",83,TRUE,"All Data",1092,"All Data (n = 1092)"
170419,21,"Spanish (Mexican)","WS","First",NA,"Female",NA,"22",TRUE,FALSE,"Marchman","College","production",59,TRUE,"All Data",1092,"All Data (n = 1092)"
170420,20,"Spanish (Mexican)","WS","Second",NA,"Female",NA,"23",TRUE,FALSE,"Marchman","Some Secondary","production",22,TRUE,"All Data",1092,"All Data (n = 1092)"
170421,22,"Spanish (Mexican)","WS","First",NA,"Female",NA,"24",TRUE,FALSE,"Marchman","Secondary","production",137,TRUE,"All Data",1092,"All Data (n = 1092)"
170422,21,"Spanish (Mexican)","WS","Second",NA,"Female",NA,"25",TRUE,FALSE,"Marchman","Primary","production",17,TRUE,"All Data",1092,"All Data (n = 1092)"
170423,20,"Spanish (Mexican)","WS","Third",NA,"Female",NA,"27",TRUE,FALSE,"Marchman","College","production",46,TRUE,"All Data",1092,"All Data (n = 1092)"
170424,20,"Spanish (Mexican)","WS","First",NA,"Female",NA,"28",TRUE,FALSE,"Marchman","Some Secondary","production",102,TRUE,"All Data",1092,"All Data (n = 1092)"
