"language","form","measure","age","identity","0.10","0.25","0.50","0.75","0.90"
"English (American)","WG","comprehension",8,"All Data",2.46915351506555,4.77864323777131,7.99999999999977,26.0000000000004,56.1428571316059
"English (American)","WG","comprehension",9,"All Data",4.00000000000119,10.0906564244835,22.0750000000001,50.0000000000001,89.4285714234363
"English (American)","WG","comprehension",10,"All Data",7.63510282161797,18.0000000136066,38.266666666667,74.9999999999993,121.99999999967
"English (American)","WG","comprehension",11,"All Data",13.3744619799157,28.5066740051387,56.5750000000007,100.999999999998,153.857142860404
"English (American)","WG","comprehension",12,"All Data",21.2180774748944,41.610678399078,77.0000000000009,127.999999999997,185.000000005682
"English (American)","WG","comprehension",13,"All Data",31.1659493065539,57.3120131954232,99.5416666666677,155.999999999996,215.428571435518
"English (American)","WG","comprehension",14,"All Data",43.2180774748945,75.6106783941739,124.200000000001,184.999999999994,245.142857149924
"English (American)","WG","comprehension",15,"All Data",57.3744619799156,96.5066739953298,150.975000000001,214.999999999992,274.142857148917
"English (American)","WG","comprehension",16,"All Data",73.6351028216174,119.999999998891,179.866666666667,245.999999999991,302.428571432536
"English (American)","WG","comprehension",17,"All Data",92.0000000000005,146.090656404857,210.875,277.99999999999,330.000000000872
"English (American)","WG","comprehension",18,"All Data",112.469153515064,174.778643213227,244,310.99999999999,356.857142854079
