"language","form","measure","age","identity","0.10","0.25","0.50","0.75","0.90"
"English (American)","WG","production",8,"All Data",-0.137855151109125,-0.133482996974925,1.29654533637114e-12,1.99999999999632,3.73661360347858
"English (American)","WG","production",9,"All Data",-0.113090724647949,-1.55239541599177e-10,0.484631508206747,2.83645532254133,4.99999999999968
"English (American)","WG","production",10,"All Data",-0.0542858494447248,0.316964779237694,1.6354231651482,4.82267741147142,7.99999999999422
"English (American)","WG","production",11,"All Data",0.0433537415249493,0.862615624513279,3.45237497082571,8.0000000000005,12.9999999999999
"English (American)","WG","production",12,"All Data",0.361437317835942,2.00000000155856,5.99999999999827,12.7003851598082,20.999999999993
"English (American)","WG","production",13,"All Data",1.00000000000324,3.81241741364363,9.84478412222494,18.9999999999993,33.999999999999
"English (American)","WG","production",14,"All Data",1.95904178802833,6.29986786078604,15.1263788296339,28.3404407214365,53.1660524226661
"English (American)","WG","production",15,"All Data",3.23856268191168,9.46235134299183,21.8447841222255,42.9999999993353,78.4993857559976
"English (American)","WG","production",16,"All Data",4.83856268165321,13.2998678602612,29.9999999999997,63.0194338224188,109.999999999995
"English (American)","WG","production",17,"All Data",6.75904178725213,17.8124174125896,39.5920264629566,88.3987421906872,147.667895154661
"English (American)","WG","production",18,"All Data",8.99999999870669,22.9999999999694,50.6208635110961,119.137925104141,191.503071219996
