"language","form","measure","age","identity","0.10","0.25","0.50","0.75","0.90"
"English (American)","WS","production",16,"All Data",10.2606900291986,16.5649494094359,27.8672273864338,63.9487179495598,115.000000000073
"English (American)","WS","production",17,"All Data",12.0219630952483,25.181340851368,58.226483402891,124.000000000688,200.248684570076
"English (American)","WS","production",18,"All Data",15.9350664191468,36.6259797637751,89.9999999999907,180.846153846696,276.582017903395
"English (American)","WS","production",19,"All Data",22.0000000008938,50.8988661466559,123.187777177733,234.487179487587,344.000000000031
"English (American)","WS","production",20,"All Data",30.2167638404897,68.0000000000095,157.789814936118,284.923076923362,402.502630859987
"English (American)","WS","production",21,"All Data",40.5853579379326,87.9293813238343,193.806113275144,332.153846154021,452.089910483264
"English (American)","WS","production",22,"All Data",53.1057822932233,110.68701011813,231.236454449,376.179487179567,492.761838869866
"English (American)","WS","production",23,"All Data",67.7780369063618,136.272886382895,269.555555555423,416.999999999998,524.518416019799
"English (American)","WS","production",24,"All Data",84.6021217773481,164.68701011813,308.000000000002,454.615384615318,549.000000000007
"English (American)","WS","production",25,"All Data",103.578036906181,195.929381323833,346.555555555654,489.025641025525,570.666666666679
"English (American)","WS","production",26,"All Data",124.705782292862,230.000000000005,385.222222222379,520.230769230623,590.000000000012
"English (American)","WS","production",27,"All Data",147.985357937391,266.898866146644,424.000000000178,548.230769230615,607.00000000001
"English (American)","WS","production",28,"All Data",173.416763839766,306.62597976375,462.88888888905,573.025641025504,621.666666666677
"English (American)","WS","production",29,"All Data",200.999999999988,349.181340851324,501.888888888997,594.615384615297,634.000000000016
"English (American)","WS","production",30,"All Data",230.735066418056,394.564949409365,541.000000000017,612.999999999997,644.00000000003
