"language","form","measure","age","identity","0.10","0.25","0.50","0.75","0.90"
"Spanish (Mexican)","WS","production",16,"All Data",8.34187452196172,16.0000000000008,31.9871794870149,83.3632478629683,161.875000026262
"Spanish (Mexican)","WS","production",17,"All Data",9.49083899887617,20.749999999987,47.0000000002355,119.99999999996,208.00000002151
"Spanish (Mexican)","WS","production",18,"All Data",12.0435474915511,27.9999999999768,64.3076923082628,156.282051282162,252.375000017069
"Spanish (Mexican)","WS","production",19,"All Data",15.9999999999815,37.7499999999702,83.9102564110965,192.209401709575,295.00000001299
"Spanish (Mexican)","WS","production",20,"All Data",21.360196524165,49.9999999999673,105.807692308736,227.7820512822,335.875000009308
"Spanish (Mexican)","WS","production",21,"All Data",28.1241370641002,64.7499999999682,130.000000001179,263.00000000004,375.000000006055
"Spanish (Mexican)","WS","production",22,"All Data",36.2918216197861,81.9999999999726,156.487179488422,297.863247863094,412.375000003255
"Spanish (Mexican)","WS","production",23,"All Data",45.8632501912222,101.749999999981,185.269230770464,332.371794871363,448.000000000928
"Spanish (Mexican)","WS","production",24,"All Data",56.8384227784072,123.999999999993,216.346153847299,366.52564102485,481.874999999092
"Spanish (Mexican)","WS","production",25,"All Data",69.2173393813373,147.975428079871,249.71794871892,400.324786323553,513.99999999776
"Spanish (Mexican)","WS","production",26,"All Data",83.0000000000075,171.849748925045,285.384615385323,433.769230767474,544.374999996948
"Spanish (Mexican)","WS","production",27,"All Data",98.1864046344111,195.524606231755,323.346153846503,466.858974356613,572.999999996676
"Spanish (Mexican)","WS","production",28,"All Data",114.776553284538,219.000000000002,363.602564102458,499.59401709097,599.874999996971
"Spanish (Mexican)","WS","production",29,"All Data",132.770445950376,242.275930229784,406.153846153187,531.974358970548,624.999999997873
"Spanish (Mexican)","WS","production",30,"All Data",152.168082631911,265.352396921104,450.99999999869,563.999999995346,648.374999999433
