"","language","form","measure","age","identity","variable","value"
"1","Spanish (Mexican)","WG","production",8,"All Data","X0.10",-0.136433632042023
"2","Spanish (Mexican)","WG","production",9,"All Data","X0.10",-0.117282194457915
"3","Spanish (Mexican)","WG","production",10,"All Data","X0.10",-0.0718057567606696
"4","Spanish (Mexican)","WG","production",11,"All Data","X0.10",-9.76559877071976e-12
"5","Spanish (Mexican)","WG","production",12,"All Data","X0.10",0.14138753273944
"6","Spanish (Mexican)","WG","production",13,"All Data","X0.10",0.411678894272482
"7","Spanish (Mexican)","WG","production",14,"All Data","X0.10",0.811544759315394
"8","Spanish (Mexican)","WG","production",15,"All Data","X0.10",1.34098512787101
"9","Spanish (Mexican)","WG","production",16,"All Data","X0.10",1.99999999993868
"10","Spanish (Mexican)","WG","production",17,"All Data","X0.10",2.78858937551484
"11","Spanish (Mexican)","WG","production",18,"All Data","X0.10",3.70675325459175
"12","Spanish (Mexican)","WG","production",8,"All Data","X0.25",-0.131902999175246
"13","Spanish (Mexican)","WG","production",9,"All Data","X0.25",-6.20735006364587e-12
"14","Spanish (Mexican)","WG","production",10,"All Data","X0.25",0.3132129636563
"15","Spanish (Mexican)","WG","production",11,"All Data","X0.25",0.807735891814335
"16","Spanish (Mexican)","WG","production",12,"All Data","X0.25",1.4835687844706
"17","Spanish (Mexican)","WG","production",13,"All Data","X0.25",2.34071164162675
"18","Spanish (Mexican)","WG","production",14,"All Data","X0.25",3.37916446328346
"19","Spanish (Mexican)","WG","production",15,"All Data","X0.25",4.5989272494409
"20","Spanish (Mexican)","WG","production",16,"All Data","X0.25",6.0000000000986
"21","Spanish (Mexican)","WG","production",17,"All Data","X0.25",7.58238271525587
"22","Spanish (Mexican)","WG","production",18,"All Data","X0.25",9.34607539491151
"23","Spanish (Mexican)","WG","production",8,"All Data","X0.50",0.661283281702548
"24","Spanish (Mexican)","WG","production",9,"All Data","X0.50",0.999999999613144
"25","Spanish (Mexican)","WG","production",10,"All Data","X0.50",1.80430670720443
"26","Spanish (Mexican)","WG","production",11,"All Data","X0.50",3.07420340449138
"27","Spanish (Mexican)","WG","production",12,"All Data","X0.50",4.80969009150433
"28","Spanish (Mexican)","WG","production",13,"All Data","X0.50",7.01076676829358
"29","Spanish (Mexican)","WG","production",14,"All Data","X0.50",9.67743343493473
"30","Spanish (Mexican)","WG","production",15,"All Data","X0.50",12.8096900915063
"31","Spanish (Mexican)","WG","production",16,"All Data","X0.50",16.4075367380546
"32","Spanish (Mexican)","WG","production",17,"All Data","X0.50",20.4709733746009
"33","Spanish (Mexican)","WG","production",18,"All Data","X0.50",25.0000000011525
"34","Spanish (Mexican)","WG","production",8,"All Data","X0.75",2.33772269537474
"35","Spanish (Mexican)","WG","production",9,"All Data","X0.75",3.1266460106838
"36","Spanish (Mexican)","WG","production",10,"All Data","X0.75",4.99999999989123
"37","Spanish (Mexican)","WG","production",11,"All Data","X0.75",7.95778466299735
"38","Spanish (Mexican)","WG","production",12,"All Data","X0.75",12.000000000003
"39","Spanish (Mexican)","WG","production",13,"All Data","X0.75",17.3874612567138
"40","Spanish (Mexican)","WG","production",14,"All Data","X0.75",25.4066460035796
"41","Spanish (Mexican)","WG","production",15,"All Data","X0.75",36.2774922513407
"42","Spanish (Mexican)","WG","production",16,"All Data","X0.75",49.9999999999978
"43","Spanish (Mexican)","WG","production",17,"All Data","X0.75",66.5741692495512
"44","Spanish (Mexican)","WG","production",18,"All Data","X0.75",86.0000000000011
"45","Spanish (Mexican)","WG","production",8,"All Data","X0.90",6.43609604955509
"46","Spanish (Mexican)","WG","production",9,"All Data","X0.90",7.78853601858256
"47","Spanish (Mexican)","WG","production",10,"All Data","X0.90",11.0000000000068
"48","Spanish (Mexican)","WG","production",11,"All Data","X0.90",16.0704879938282
"49","Spanish (Mexican)","WG","production",12,"All Data","X0.90",23.0000000000473
"50","Spanish (Mexican)","WG","production",13,"All Data","X0.90",34.6154289327538
"51","Spanish (Mexican)","WG","production",14,"All Data","X0.90",62.4461715730867
"52","Spanish (Mexican)","WG","production",15,"All Data","X0.90",107.999999999978
"53","Spanish (Mexican)","WG","production",16,"All Data","X0.90",171.276914213428
"54","Spanish (Mexican)","WG","production",17,"All Data","X0.90",252.276914213436
"55","Spanish (Mexican)","WG","production",18,"All Data","X0.90",351.000000000003
