"","language","form","measure","age","identity","variable","value"
"1","English (American)","WG","production",8,"All Data","X0.10",-0.115423893011143
"2","English (American)","WG","production",9,"All Data","X0.10",-0.0853221496343661
"3","English (American)","WG","production",10,"All Data","X0.10",-0.0138434394221044
"4","English (American)","WG","production",11,"All Data","X0.10",0.10293478337709
"5","English (American)","WG","production",12,"All Data","X0.10",0.413600543803373
"6","English (American)","WG","production",13,"All Data","X0.10",1.00000000004008
"7","English (American)","WG","production",14,"All Data","X0.10",1.86213315210176
"8","English (American)","WG","production",15,"All Data","X0.10",2.99999999999009
"9","English (American)","WG","production",16,"All Data","X0.10",4.41360054370398
"10","English (American)","WG","production",17,"All Data","X0.10",6.10293478323985
"11","English (American)","WG","production",18,"All Data","X0.10",8.06800271859056
"12","English (American)","WG","production",8,"All Data","X0.25",-0.112101662359955
"13","English (American)","WG","production",9,"All Data","X0.25",-1.56621714837886e-11
"14","English (American)","WG","production",10,"All Data","X0.25",0.266193294416688
"15","English (American)","WG","production",11,"All Data","X0.25",0.696288395166546
"16","English (American)","WG","production",12,"All Data","X0.25",1.66189968258687
"17","English (American)","WG","production",13,"All Data","X0.25",3.36772204585039
"18","English (American)","WG","production",14,"All Data","X0.25",5.8137554849663
"19","English (American)","WG","production",15,"All Data","X0.25",8.99999999993665
"20","English (American)","WG","production",16,"All Data","X0.25",12.9264555907613
"21","English (American)","WG","production",17,"All Data","X0.25",17.5931222574392
"22","English (American)","WG","production",18,"All Data","X0.25",22.9999999999681
"23","English (American)","WG","production",8,"All Data","X0.50",0.646405040737668
"24","English (American)","WG","production",9,"All Data","X0.50",0.999999999802789
"25","English (American)","WG","production",10,"All Data","X0.50",1.83963613967758
"26","English (American)","WG","production",11,"All Data","X0.50",3.16531346042418
"27","English (American)","WG","production",12,"All Data","X0.50",4.99999999920743
"28","English (American)","WG","production",13,"All Data","X0.50",8.3922806596059
"29","English (American)","WG","production",14,"All Data","X0.50",13.9609823891253
"30","English (American)","WG","production",15,"All Data","X0.50",21.7061051879291
"31","English (American)","WG","production",16,"All Data","X0.50",31.6276490560545
"32","English (American)","WG","production",17,"All Data","X0.50",43.7256139935145
"33","English (American)","WG","production",18,"All Data","X0.50",58.0000000003118
"34","English (American)","WG","production",8,"All Data","X0.75",1.99999999999809
"35","English (American)","WG","production",9,"All Data","X0.75",2.80806290663804
"36","English (American)","WG","production",10,"All Data","X0.75",4.72686520382403
"37","English (American)","WG","production",11,"All Data","X0.75",7.75640689155694
"38","English (American)","WG","production",12,"All Data","X0.75",11.8966879698382
"39","English (American)","WG","production",13,"All Data","X0.75",17.2004076841804
"40","English (American)","WG","production",14,"All Data","X0.75",26.6134964070112
"41","English (American)","WG","production",15,"All Data","X0.75",42.0000000000027
"42","English (American)","WG","production",16,"All Data","X0.75",63.3599184631587
"43","English (American)","WG","production",17,"All Data","X0.75",90.6932517964808
"44","English (American)","WG","production",18,"All Data","X0.75",123.99999999997
"45","English (American)","WG","production",8,"All Data","X0.90",3.73661605184628
"46","English (American)","WG","production",9,"All Data","X0.90",5.00000000000653
"47","English (American)","WG","production",10,"All Data","X0.90",8.00000000000394
"48","English (American)","WG","production",11,"All Data","X0.90",12.9999999999953
"49","English (American)","WG","production",12,"All Data","X0.90",20.9999999999877
"50","English (American)","WG","production",13,"All Data","X0.90",34.4166666666633
"51","English (American)","WG","production",14,"All Data","X0.90",53.999999999999
"52","English (American)","WG","production",15,"All Data","X0.90",79.7499999999996
"53","English (American)","WG","production",16,"All Data","X0.90",111.666666666666
"54","English (American)","WG","production",17,"All Data","X0.90",149.750000000001
"55","English (American)","WG","production",18,"All Data","X0.90",194.000000000004
