"","language","form","measure","age","identity","variable","value"
"1","Spanish (Mexican)","WG","production",8,"All Data","X0.10",-0.125962160502463
"2","Spanish (Mexican)","WG","production",9,"All Data","X0.10",-0.108280518690978
"3","Spanish (Mexican)","WG","production",10,"All Data","X0.10",-0.0662942145956978
"4","Spanish (Mexican)","WG","production",11,"All Data","X0.10",-1.16146140285728e-13
"5","Spanish (Mexican)","WG","production",12,"All Data","X0.10",0.123131763440532
"6","Spanish (Mexican)","WG","production",13,"All Data","X0.10",0.347716458483974
"7","Spanish (Mexican)","WG","production",14,"All Data","X0.10",0.674258491280579
"8","Spanish (Mexican)","WG","production",15,"All Data","X0.10",1.10275786183052
"9","Spanish (Mexican)","WG","production",16,"All Data","X0.10",1.63321457013388
"10","Spanish (Mexican)","WG","production",17,"All Data","X0.10",2.26562861619045
"11","Spanish (Mexican)","WG","production",18,"All Data","X0.10",3.00000000000012
"12","Spanish (Mexican)","WG","production",8,"All Data","X0.25",-0.1217718791301
"13","Spanish (Mexican)","WG","production",9,"All Data","X0.25",3.16702932975921e-10
"14","Spanish (Mexican)","WG","production",10,"All Data","X0.25",0.289155906436777
"15","Spanish (Mexican)","WG","production",11,"All Data","X0.25",0.74569583928593
"16","Spanish (Mexican)","WG","production",12,"All Data","X0.25",1.36961979894434
"17","Spanish (Mexican)","WG","production",13,"All Data","X0.25",2.16092778544302
"18","Spanish (Mexican)","WG","production",14,"All Data","X0.25",3.1196197987833
"19","Spanish (Mexican)","WG","production",15,"All Data","X0.25",4.2456958389562
"20","Spanish (Mexican)","WG","production",16,"All Data","X0.25",5.53915590594747
"21","Spanish (Mexican)","WG","production",17,"All Data","X0.25",6.99999999973854
"22","Spanish (Mexican)","WG","production",18,"All Data","X0.25",8.62822812030667
"23","Spanish (Mexican)","WG","production",8,"All Data","X0.50",0.321428571423898
"24","Spanish (Mexican)","WG","production",9,"All Data","X0.50",0.999999999996385
"25","Spanish (Mexican)","WG","production",10,"All Data","X0.50",1.99999999999707
"26","Spanish (Mexican)","WG","production",11,"All Data","X0.50",3.32142857142594
"27","Spanish (Mexican)","WG","production",12,"All Data","X0.50",4.96428571428302
"28","Spanish (Mexican)","WG","production",13,"All Data","X0.50",6.92857142856846
"29","Spanish (Mexican)","WG","production",14,"All Data","X0.50",9.21428571428246
"30","Spanish (Mexican)","WG","production",15,"All Data","X0.50",11.8214285714253
"31","Spanish (Mexican)","WG","production",16,"All Data","X0.50",14.7499999999973
"32","Spanish (Mexican)","WG","production",17,"All Data","X0.50",17.9999999999983
"33","Spanish (Mexican)","WG","production",18,"All Data","X0.50",21.5714285714284
"34","Spanish (Mexican)","WG","production",8,"All Data","X0.75",2.00000000002952
"35","Spanish (Mexican)","WG","production",9,"All Data","X0.75",3.20000000043337
"36","Spanish (Mexican)","WG","production",10,"All Data","X0.75",5.2000000003764
"37","Spanish (Mexican)","WG","production",11,"All Data","X0.75",7.9999999998594
"38","Spanish (Mexican)","WG","production",12,"All Data","X0.75",11.5999999988836
"39","Spanish (Mexican)","WG","production",13,"All Data","X0.75",15.9999999974517
"40","Spanish (Mexican)","WG","production",14,"All Data","X0.75",21.1999999958981
"41","Spanish (Mexican)","WG","production",15,"All Data","X0.75",27.1999999952824
"42","Spanish (Mexican)","WG","production",16,"All Data","X0.75",33.9999999957215
"43","Spanish (Mexican)","WG","production",17,"All Data","X0.75",41.5999999972179
"44","Spanish (Mexican)","WG","production",18,"All Data","X0.75",49.9999999997728
"45","Spanish (Mexican)","WG","production",8,"All Data","X0.90",5.99999999997177
"46","Spanish (Mexican)","WG","production",9,"All Data","X0.90",9.16666666662184
"47","Spanish (Mexican)","WG","production",10,"All Data","X0.90",13.9999999999727
"48","Spanish (Mexican)","WG","production",11,"All Data","X0.90",20.5000000000271
"49","Spanish (Mexican)","WG","production",12,"All Data","X0.90",28.6666666667871
"50","Spanish (Mexican)","WG","production",13,"All Data","X0.90",38.5000000002543
"51","Spanish (Mexican)","WG","production",14,"All Data","X0.90",50.0000000004299
"52","Spanish (Mexican)","WG","production",15,"All Data","X0.90",63.1666666673153
"53","Spanish (Mexican)","WG","production",16,"All Data","X0.90",78.0000000009119
"54","Spanish (Mexican)","WG","production",17,"All Data","X0.90",94.5000000012215
"55","Spanish (Mexican)","WG","production",18,"All Data","X0.90",112.666666668247
