"","language","form","measure","age","identity","variable","value"
"1","English (American)","WS","production",16,"All Data","X0.10",8.75330924497173
"2","English (American)","WS","production",17,"All Data","X0.10",10.3818327121778
"3","English (American)","WS","production",18,"All Data","X0.10",14.0000000000377
"4","English (American)","WS","production",19,"All Data","X0.10",19.6078111085511
"5","English (American)","WS","production",20,"All Data","X0.10",27.2052660377183
"6","English (American)","WS","production",21,"All Data","X0.10",36.7941611218752
"7","English (American)","WS","production",22,"All Data","X0.10",48.9999999998855
"8","English (American)","WS","production",23,"All Data","X0.10",64.5330692417549
"9","English (American)","WS","production",24,"All Data","X0.10",83.3996038626997
"10","English (American)","WS","production",25,"All Data","X0.10",105.599603862721
"11","English (American)","WS","production",26,"All Data","X0.10",131.133069241819
"12","English (American)","WS","production",27,"All Data","X0.10",159.999999999994
"13","English (American)","WS","production",28,"All Data","X0.10",192.200396137245
"14","English (American)","WS","production",29,"All Data","X0.10",227.734257653571
"15","English (American)","WS","production",30,"All Data","X0.10",266.60158454897
"16","English (American)","WS","production",16,"All Data","X0.25",17.9999999999735
"17","English (American)","WS","production",17,"All Data","X0.25",23.0256410256208
"18","English (American)","WS","production",18,"All Data","X0.25",31.8675213675077
"19","English (American)","WS","production",19,"All Data","X0.25",44.5256410256334
"20","English (American)","WS","production",20,"All Data","X0.25",60.9999999999981
"21","English (American)","WS","production",21,"All Data","X0.25",81.2905982906019
"22","English (American)","WS","production",22,"All Data","X0.25",105.397435897444
"23","English (American)","WS","production",23,"All Data","X0.25",133.320512820525
"24","English (American)","WS","production",24,"All Data","X0.25",165.059829059843
"25","English (American)","WS","production",25,"All Data","X0.25",200.6153846154
"26","English (American)","WS","production",26,"All Data","X0.25",239.987179487195
"27","English (American)","WS","production",27,"All Data","X0.25",283.175213675227
"28","English (American)","WS","production",28,"All Data","X0.25",330.179487179497
"29","English (American)","WS","production",29,"All Data","X0.25",381.000000000004
"30","English (American)","WS","production",30,"All Data","X0.25",435.636752136747
"31","English (American)","WS","production",16,"All Data","X0.50",35.000000003657
"32","English (American)","WS","production",17,"All Data","X0.50",52.9562552997107
"33","English (American)","WS","production",18,"All Data","X0.50",76.2750070644485
"34","English (American)","WS","production",19,"All Data","X0.50",104.95625529787
"35","English (American)","WS","production",20,"All Data","X0.50",138.999999999975
"36","English (American)","WS","production",21,"All Data","X0.50",178.406241170764
"37","English (American)","WS","production",22,"All Data","X0.50",223.173791373602
"38","English (American)","WS","production",23,"All Data","X0.50",270.438117172063
"39","English (American)","WS","production",24,"All Data","X0.50",316.036066955486
"40","English (American)","WS","production",25,"All Data","X0.50",359.890027898148
"41","English (American)","WS","production",26,"All Data","X0.50",402.000000000046
"42","English (American)","WS","production",27,"All Data","X0.50",442.365983261182
"43","English (American)","WS","production",28,"All Data","X0.50",480.987977681554
"44","English (American)","WS","production",29,"All Data","X0.50",517.865983261162
"45","English (American)","WS","production",30,"All Data","X0.50",553.000000000007
"46","English (American)","WS","production",16,"All Data","X0.75",70.0000000000112
"47","English (American)","WS","production",17,"All Data","X0.75",121.783339645661
"48","English (American)","WS","production",18,"All Data","X0.75",172.653374492304
"49","English (American)","WS","production",19,"All Data","X0.75",222.610104539939
"50","English (American)","WS","production",20,"All Data","X0.75",271.653529788567
"51","English (American)","WS","production",21,"All Data","X0.75",319.783650238187
"52","English (American)","WS","production",22,"All Data","X0.75",367
"53","English (American)","WS","production",23,"All Data","X0.75",412.178684115282
"54","English (American)","WS","production",24,"All Data","X0.75",453.686296931251
"55","English (American)","WS","production",25,"All Data","X0.75",491.492387184027
"56","English (American)","WS","production",26,"All Data","X0.75",525.59695487361
"57","English (American)","WS","production",27,"All Data","X0.75",555.999999999999
"58","English (American)","WS","production",28,"All Data","X0.75",582.701522563194
"59","English (American)","WS","production",29,"All Data","X0.75",605.701522563194
"60","English (American)","WS","production",30,"All Data","X0.75",625
"61","English (American)","WS","production",16,"All Data","X0.90",128.999999999998
"62","English (American)","WS","production",17,"All Data","X0.90",202.999999999886
"63","English (American)","WS","production",18,"All Data","X0.90",271.106691459384
"64","English (American)","WS","production",19,"All Data","X0.90",333.320074378492
"65","English (American)","WS","production",20,"All Data","X0.90",389.64014875721
"66","English (American)","WS","production",21,"All Data","X0.90",440.066914595539
"67","English (American)","WS","production",22,"All Data","X0.90",484.600371893479
"68","English (American)","WS","production",23,"All Data","X0.90",523.240520651028
"69","English (American)","WS","production",24,"All Data","X0.90",556.000000000009
"70","English (American)","WS","production",25,"All Data","X0.90",583.556772912382
"71","English (American)","WS","production",26,"All Data","X0.90",606.377324345569
"72","English (American)","WS","production",27,"All Data","X0.90",624.461847671837
"73","English (American)","WS","production",28,"All Data","X0.90",637.810342891188
"74","English (American)","WS","production",29,"All Data","X0.90",646.42281000362
"75","English (American)","WS","production",30,"All Data","X0.90",650.299249009135
