"","language","form","measure","age","identity","variable","value"
"1","Spanish (Mexican)","WS","production",16,"All Data","X0.10",8.92763082282467
"2","Spanish (Mexican)","WS","production",17,"All Data","X0.10",10.0916386707595
"3","Spanish (Mexican)","WS","production",18,"All Data","X0.10",12.6777697293666
"4","Spanish (Mexican)","WS","production",19,"All Data","X0.10",16.6860239986456
"5","Spanish (Mexican)","WS","production",20,"All Data","X0.10",22.1164014785958
"6","Spanish (Mexican)","WS","production",21,"All Data","X0.10",28.9689021692164
"7","Spanish (Mexican)","WS","production",22,"All Data","X0.10",37.2435260705071
"8","Spanish (Mexican)","WS","production",23,"All Data","X0.10",46.9402731824674
"9","Spanish (Mexican)","WS","production",24,"All Data","X0.10",58.0591435050972
"10","Spanish (Mexican)","WS","production",25,"All Data","X0.10",70.6001370383964
"11","Spanish (Mexican)","WS","production",26,"All Data","X0.10",84.5632537823656
"12","Spanish (Mexican)","WS","production",27,"All Data","X0.10",99.9484937370043
"13","Spanish (Mexican)","WS","production",28,"All Data","X0.10",116.755856902313
"14","Spanish (Mexican)","WS","production",29,"All Data","X0.10",134.985343278293
"15","Spanish (Mexican)","WS","production",30,"All Data","X0.10",154.636952864942
"16","Spanish (Mexican)","WS","production",16,"All Data","X0.25",15.9511480184809
"17","Spanish (Mexican)","WS","production",17,"All Data","X0.25",21.2072381760507
"18","Spanish (Mexican)","WS","production",18,"All Data","X0.25",28.9663847952252
"19","Spanish (Mexican)","WS","production",19,"All Data","X0.25",39.2285878760046
"20","Spanish (Mexican)","WS","production",20,"All Data","X0.25",51.9938474183896
"21","Spanish (Mexican)","WS","production",21,"All Data","X0.25",67.2621634223803
"22","Spanish (Mexican)","WS","production",22,"All Data","X0.25",85.0335358879763
"23","Spanish (Mexican)","WS","production",23,"All Data","X0.25",105.307964815177
"24","Spanish (Mexican)","WS","production",24,"All Data","X0.25",128.085450203984
"25","Spanish (Mexican)","WS","production",25,"All Data","X0.25",152.409477155485
"26","Spanish (Mexican)","WS","production",26,"All Data","X0.25",176.024466560315
"27","Spanish (Mexican)","WS","production",27,"All Data","X0.25",198.808958722484
"28","Spanish (Mexican)","WS","production",28,"All Data","X0.25",220.762953641989
"29","Spanish (Mexican)","WS","production",29,"All Data","X0.25",241.886451318832
"30","Spanish (Mexican)","WS","production",30,"All Data","X0.25",262.179451753013
"31","Spanish (Mexican)","WS","production",16,"All Data","X0.50",28.8761816396818
"32","Spanish (Mexican)","WS","production",17,"All Data","X0.50",48.3441520097601
"33","Spanish (Mexican)","WS","production",18,"All Data","X0.50",69.3798826180163
"34","Spanish (Mexican)","WS","production",19,"All Data","X0.50",91.9833734644502
"35","Spanish (Mexican)","WS","production",20,"All Data","X0.50",116.154624549062
"36","Spanish (Mexican)","WS","production",21,"All Data","X0.50",141.893635871849
"37","Spanish (Mexican)","WS","production",22,"All Data","X0.50",169.20040743281
"38","Spanish (Mexican)","WS","production",23,"All Data","X0.50",198.07493923194
"39","Spanish (Mexican)","WS","production",24,"All Data","X0.50",228.517231269232
"40","Spanish (Mexican)","WS","production",25,"All Data","X0.50",260.527283544678
"41","Spanish (Mexican)","WS","production",26,"All Data","X0.50",294.105096058272
"42","Spanish (Mexican)","WS","production",27,"All Data","X0.50",329.250668810009
"43","Spanish (Mexican)","WS","production",28,"All Data","X0.50",365.964001799888
"44","Spanish (Mexican)","WS","production",29,"All Data","X0.50",404.245095027908
"45","Spanish (Mexican)","WS","production",30,"All Data","X0.50",444.093948494069
"46","Spanish (Mexican)","WS","production",16,"All Data","X0.75",80.1772813082681
"47","Spanish (Mexican)","WS","production",17,"All Data","X0.75",125.310971811302
"48","Spanish (Mexican)","WS","production",18,"All Data","X0.75",168.651745643525
"49","Spanish (Mexican)","WS","production",19,"All Data","X0.75",210.199602804946
"50","Spanish (Mexican)","WS","production",20,"All Data","X0.75",249.954543295581
"51","Spanish (Mexican)","WS","production",21,"All Data","X0.75",287.916567115442
"52","Spanish (Mexican)","WS","production",22,"All Data","X0.75",324.085674264544
"53","Spanish (Mexican)","WS","production",23,"All Data","X0.75",358.461864742897
"54","Spanish (Mexican)","WS","production",24,"All Data","X0.75",391.04513855051
"55","Spanish (Mexican)","WS","production",25,"All Data","X0.75",421.835495687388
"56","Spanish (Mexican)","WS","production",26,"All Data","X0.75",450.832936153537
"57","Spanish (Mexican)","WS","production",27,"All Data","X0.75",478.037459948961
"58","Spanish (Mexican)","WS","production",28,"All Data","X0.75",503.449067073668
"59","Spanish (Mexican)","WS","production",29,"All Data","X0.75",527.067757527665
"60","Spanish (Mexican)","WS","production",30,"All Data","X0.75",548.893531310963
"61","Spanish (Mexican)","WS","production",16,"All Data","X0.90",191.974358902258
"62","Spanish (Mexican)","WS","production",17,"All Data","X0.90",266.325990971117
"63","Spanish (Mexican)","WS","production",18,"All Data","X0.90",332.296245271157
"64","Spanish (Mexican)","WS","production",19,"All Data","X0.90",389.885121802392
"65","Spanish (Mexican)","WS","production",20,"All Data","X0.90",439.092620564841
"66","Spanish (Mexican)","WS","production",21,"All Data","X0.90",479.923237989167
"67","Spanish (Mexican)","WS","production",22,"All Data","X0.90",513.942681335101
"68","Spanish (Mexican)","WS","production",23,"All Data","X0.90",542.928879251133
"69","Spanish (Mexican)","WS","production",24,"All Data","X0.90",566.897438694672
"70","Spanish (Mexican)","WS","production",25,"All Data","X0.90",585.84835966575
"71","Spanish (Mexican)","WS","production",26,"All Data","X0.90",599.781642164408
"72","Spanish (Mexican)","WS","production",27,"All Data","X0.90",609.19409637981
"73","Spanish (Mexican)","WS","production",28,"All Data","X0.90",615.983801711988
"74","Spanish (Mexican)","WS","production",29,"All Data","X0.90",620.364528746398
"75","Spanish (Mexican)","WS","production",30,"All Data","X0.90",622.336277483085
