"","language","form","measure","age","identity","variable","value"
"1","English (American)","WG","production",8,"All Data","X0.10",-0.137855151109125
"2","English (American)","WG","production",9,"All Data","X0.10",-0.113090724647949
"3","English (American)","WG","production",10,"All Data","X0.10",-0.0542858494447248
"4","English (American)","WG","production",11,"All Data","X0.10",0.0433537415249493
"5","English (American)","WG","production",12,"All Data","X0.10",0.361437317835942
"6","English (American)","WG","production",13,"All Data","X0.10",1.00000000000324
"7","English (American)","WG","production",14,"All Data","X0.10",1.95904178802833
"8","English (American)","WG","production",15,"All Data","X0.10",3.23856268191168
"9","English (American)","WG","production",16,"All Data","X0.10",4.83856268165321
"10","English (American)","WG","production",17,"All Data","X0.10",6.75904178725213
"11","English (American)","WG","production",18,"All Data","X0.10",8.99999999870669
"12","English (American)","WG","production",8,"All Data","X0.25",-0.133482996974925
"13","English (American)","WG","production",9,"All Data","X0.25",-1.55239541599177e-10
"14","English (American)","WG","production",10,"All Data","X0.25",0.316964779237694
"15","English (American)","WG","production",11,"All Data","X0.25",0.862615624513279
"16","English (American)","WG","production",12,"All Data","X0.25",2.00000000155856
"17","English (American)","WG","production",13,"All Data","X0.25",3.81241741364363
"18","English (American)","WG","production",14,"All Data","X0.25",6.29986786078604
"19","English (American)","WG","production",15,"All Data","X0.25",9.46235134299183
"20","English (American)","WG","production",16,"All Data","X0.25",13.2998678602612
"21","English (American)","WG","production",17,"All Data","X0.25",17.8124174125896
"22","English (American)","WG","production",18,"All Data","X0.25",22.9999999999694
"23","English (American)","WG","production",8,"All Data","X0.50",1.29654533637114e-12
"24","English (American)","WG","production",9,"All Data","X0.50",0.484631508206747
"25","English (American)","WG","production",10,"All Data","X0.50",1.6354231651482
"26","English (American)","WG","production",11,"All Data","X0.50",3.45237497082571
"27","English (American)","WG","production",12,"All Data","X0.50",5.99999999999827
"28","English (American)","WG","production",13,"All Data","X0.50",9.84478412222494
"29","English (American)","WG","production",14,"All Data","X0.50",15.1263788296339
"30","English (American)","WG","production",15,"All Data","X0.50",21.8447841222255
"31","English (American)","WG","production",16,"All Data","X0.50",29.9999999999997
"32","English (American)","WG","production",17,"All Data","X0.50",39.5920264629566
"33","English (American)","WG","production",18,"All Data","X0.50",50.6208635110961
"34","English (American)","WG","production",8,"All Data","X0.75",1.99999999999632
"35","English (American)","WG","production",9,"All Data","X0.75",2.83645532254133
"36","English (American)","WG","production",10,"All Data","X0.75",4.82267741147142
"37","English (American)","WG","production",11,"All Data","X0.75",8.0000000000005
"38","English (American)","WG","production",12,"All Data","X0.75",12.7003851598082
"39","English (American)","WG","production",13,"All Data","X0.75",18.9999999999993
"40","English (American)","WG","production",14,"All Data","X0.75",28.3404407214365
"41","English (American)","WG","production",15,"All Data","X0.75",42.9999999993353
"42","English (American)","WG","production",16,"All Data","X0.75",63.0194338224188
"43","English (American)","WG","production",17,"All Data","X0.75",88.3987421906872
"44","English (American)","WG","production",18,"All Data","X0.75",119.137925104141
"45","English (American)","WG","production",8,"All Data","X0.90",3.73661360347858
"46","English (American)","WG","production",9,"All Data","X0.90",4.99999999999968
"47","English (American)","WG","production",10,"All Data","X0.90",7.99999999999422
"48","English (American)","WG","production",11,"All Data","X0.90",12.9999999999999
"49","English (American)","WG","production",12,"All Data","X0.90",20.999999999993
"50","English (American)","WG","production",13,"All Data","X0.90",33.999999999999
"51","English (American)","WG","production",14,"All Data","X0.90",53.1660524226661
"52","English (American)","WG","production",15,"All Data","X0.90",78.4993857559976
"53","English (American)","WG","production",16,"All Data","X0.90",109.999999999995
"54","English (American)","WG","production",17,"All Data","X0.90",147.667895154661
"55","English (American)","WG","production",18,"All Data","X0.90",191.503071219996
