"","language","form","measure","age","identity","variable","value"
"1","English (American)","WS","production",16,"All Data","X0.10",10.2606900291986
"2","English (American)","WS","production",17,"All Data","X0.10",12.0219630952483
"3","English (American)","WS","production",18,"All Data","X0.10",15.9350664191468
"4","English (American)","WS","production",19,"All Data","X0.10",22.0000000008938
"5","English (American)","WS","production",20,"All Data","X0.10",30.2167638404897
"6","English (American)","WS","production",21,"All Data","X0.10",40.5853579379326
"7","English (American)","WS","production",22,"All Data","X0.10",53.1057822932233
"8","English (American)","WS","production",23,"All Data","X0.10",67.7780369063618
"9","English (American)","WS","production",24,"All Data","X0.10",84.6021217773481
"10","English (American)","WS","production",25,"All Data","X0.10",103.578036906181
"11","English (American)","WS","production",26,"All Data","X0.10",124.705782292862
"12","English (American)","WS","production",27,"All Data","X0.10",147.985357937391
"13","English (American)","WS","production",28,"All Data","X0.10",173.416763839766
"14","English (American)","WS","production",29,"All Data","X0.10",200.999999999988
"15","English (American)","WS","production",30,"All Data","X0.10",230.735066418056
"16","English (American)","WS","production",16,"All Data","X0.25",16.5649494094359
"17","English (American)","WS","production",17,"All Data","X0.25",25.181340851368
"18","English (American)","WS","production",18,"All Data","X0.25",36.6259797637751
"19","English (American)","WS","production",19,"All Data","X0.25",50.8988661466559
"20","English (American)","WS","production",20,"All Data","X0.25",68.0000000000095
"21","English (American)","WS","production",21,"All Data","X0.25",87.9293813238343
"22","English (American)","WS","production",22,"All Data","X0.25",110.68701011813
"23","English (American)","WS","production",23,"All Data","X0.25",136.272886382895
"24","English (American)","WS","production",24,"All Data","X0.25",164.68701011813
"25","English (American)","WS","production",25,"All Data","X0.25",195.929381323833
"26","English (American)","WS","production",26,"All Data","X0.25",230.000000000005
"27","English (American)","WS","production",27,"All Data","X0.25",266.898866146644
"28","English (American)","WS","production",28,"All Data","X0.25",306.62597976375
"29","English (American)","WS","production",29,"All Data","X0.25",349.181340851324
"30","English (American)","WS","production",30,"All Data","X0.25",394.564949409365
"31","English (American)","WS","production",16,"All Data","X0.50",27.8672273864338
"32","English (American)","WS","production",17,"All Data","X0.50",58.226483402891
"33","English (American)","WS","production",18,"All Data","X0.50",89.9999999999907
"34","English (American)","WS","production",19,"All Data","X0.50",123.187777177733
"35","English (American)","WS","production",20,"All Data","X0.50",157.789814936118
"36","English (American)","WS","production",21,"All Data","X0.50",193.806113275144
"37","English (American)","WS","production",22,"All Data","X0.50",231.236454449
"38","English (American)","WS","production",23,"All Data","X0.50",269.555555555423
"39","English (American)","WS","production",24,"All Data","X0.50",308.000000000002
"40","English (American)","WS","production",25,"All Data","X0.50",346.555555555654
"41","English (American)","WS","production",26,"All Data","X0.50",385.222222222379
"42","English (American)","WS","production",27,"All Data","X0.50",424.000000000178
"43","English (American)","WS","production",28,"All Data","X0.50",462.88888888905
"44","English (American)","WS","production",29,"All Data","X0.50",501.888888888997
"45","English (American)","WS","production",30,"All Data","X0.50",541.000000000017
"46","English (American)","WS","production",16,"All Data","X0.75",63.9487179495598
"47","English (American)","WS","production",17,"All Data","X0.75",124.000000000688
"48","English (American)","WS","production",18,"All Data","X0.75",180.846153846696
"49","English (American)","WS","production",19,"All Data","X0.75",234.487179487587
"50","English (American)","WS","production",20,"All Data","X0.75",284.923076923362
"51","English (American)","WS","production",21,"All Data","X0.75",332.153846154021
"52","English (American)","WS","production",22,"All Data","X0.75",376.179487179567
"53","English (American)","WS","production",23,"All Data","X0.75",416.999999999998
"54","English (American)","WS","production",24,"All Data","X0.75",454.615384615318
"55","English (American)","WS","production",25,"All Data","X0.75",489.025641025525
"56","English (American)","WS","production",26,"All Data","X0.75",520.230769230623
"57","English (American)","WS","production",27,"All Data","X0.75",548.230769230615
"58","English (American)","WS","production",28,"All Data","X0.75",573.025641025504
"59","English (American)","WS","production",29,"All Data","X0.75",594.615384615297
"60","English (American)","WS","production",30,"All Data","X0.75",612.999999999997
"61","English (American)","WS","production",16,"All Data","X0.90",115.000000000073
"62","English (American)","WS","production",17,"All Data","X0.90",200.248684570076
"63","English (American)","WS","production",18,"All Data","X0.90",276.582017903395
"64","English (American)","WS","production",19,"All Data","X0.90",344.000000000031
"65","English (American)","WS","production",20,"All Data","X0.90",402.502630859987
"66","English (American)","WS","production",21,"All Data","X0.90",452.089910483264
"67","English (American)","WS","production",22,"All Data","X0.90",492.761838869866
"68","English (American)","WS","production",23,"All Data","X0.90",524.518416019799
"69","English (American)","WS","production",24,"All Data","X0.90",549.000000000007
"70","English (American)","WS","production",25,"All Data","X0.90",570.666666666679
"71","English (American)","WS","production",26,"All Data","X0.90",590.000000000012
"72","English (American)","WS","production",27,"All Data","X0.90",607.00000000001
"73","English (American)","WS","production",28,"All Data","X0.90",621.666666666677
"74","English (American)","WS","production",29,"All Data","X0.90",634.000000000016
"75","English (American)","WS","production",30,"All Data","X0.90",644.00000000003
