"","language","form","measure","age","identity","variable","value"
"1","Spanish (Mexican)","WS","production",16,"All Data","X0.10",8.34187452196172
"2","Spanish (Mexican)","WS","production",17,"All Data","X0.10",9.49083899887617
"3","Spanish (Mexican)","WS","production",18,"All Data","X0.10",12.0435474915511
"4","Spanish (Mexican)","WS","production",19,"All Data","X0.10",15.9999999999815
"5","Spanish (Mexican)","WS","production",20,"All Data","X0.10",21.360196524165
"6","Spanish (Mexican)","WS","production",21,"All Data","X0.10",28.1241370641002
"7","Spanish (Mexican)","WS","production",22,"All Data","X0.10",36.2918216197861
"8","Spanish (Mexican)","WS","production",23,"All Data","X0.10",45.8632501912222
"9","Spanish (Mexican)","WS","production",24,"All Data","X0.10",56.8384227784072
"10","Spanish (Mexican)","WS","production",25,"All Data","X0.10",69.2173393813373
"11","Spanish (Mexican)","WS","production",26,"All Data","X0.10",83.0000000000075
"12","Spanish (Mexican)","WS","production",27,"All Data","X0.10",98.1864046344111
"13","Spanish (Mexican)","WS","production",28,"All Data","X0.10",114.776553284538
"14","Spanish (Mexican)","WS","production",29,"All Data","X0.10",132.770445950376
"15","Spanish (Mexican)","WS","production",30,"All Data","X0.10",152.168082631911
"16","Spanish (Mexican)","WS","production",16,"All Data","X0.25",16.0000000000008
"17","Spanish (Mexican)","WS","production",17,"All Data","X0.25",20.749999999987
"18","Spanish (Mexican)","WS","production",18,"All Data","X0.25",27.9999999999768
"19","Spanish (Mexican)","WS","production",19,"All Data","X0.25",37.7499999999702
"20","Spanish (Mexican)","WS","production",20,"All Data","X0.25",49.9999999999673
"21","Spanish (Mexican)","WS","production",21,"All Data","X0.25",64.7499999999682
"22","Spanish (Mexican)","WS","production",22,"All Data","X0.25",81.9999999999726
"23","Spanish (Mexican)","WS","production",23,"All Data","X0.25",101.749999999981
"24","Spanish (Mexican)","WS","production",24,"All Data","X0.25",123.999999999993
"25","Spanish (Mexican)","WS","production",25,"All Data","X0.25",147.975428079871
"26","Spanish (Mexican)","WS","production",26,"All Data","X0.25",171.849748925045
"27","Spanish (Mexican)","WS","production",27,"All Data","X0.25",195.524606231755
"28","Spanish (Mexican)","WS","production",28,"All Data","X0.25",219.000000000002
"29","Spanish (Mexican)","WS","production",29,"All Data","X0.25",242.275930229784
"30","Spanish (Mexican)","WS","production",30,"All Data","X0.25",265.352396921104
"31","Spanish (Mexican)","WS","production",16,"All Data","X0.50",31.9871794870149
"32","Spanish (Mexican)","WS","production",17,"All Data","X0.50",47.0000000002355
"33","Spanish (Mexican)","WS","production",18,"All Data","X0.50",64.3076923082628
"34","Spanish (Mexican)","WS","production",19,"All Data","X0.50",83.9102564110965
"35","Spanish (Mexican)","WS","production",20,"All Data","X0.50",105.807692308736
"36","Spanish (Mexican)","WS","production",21,"All Data","X0.50",130.000000001179
"37","Spanish (Mexican)","WS","production",22,"All Data","X0.50",156.487179488422
"38","Spanish (Mexican)","WS","production",23,"All Data","X0.50",185.269230770464
"39","Spanish (Mexican)","WS","production",24,"All Data","X0.50",216.346153847299
"40","Spanish (Mexican)","WS","production",25,"All Data","X0.50",249.71794871892
"41","Spanish (Mexican)","WS","production",26,"All Data","X0.50",285.384615385323
"42","Spanish (Mexican)","WS","production",27,"All Data","X0.50",323.346153846503
"43","Spanish (Mexican)","WS","production",28,"All Data","X0.50",363.602564102458
"44","Spanish (Mexican)","WS","production",29,"All Data","X0.50",406.153846153187
"45","Spanish (Mexican)","WS","production",30,"All Data","X0.50",450.99999999869
"46","Spanish (Mexican)","WS","production",16,"All Data","X0.75",83.3632478629683
"47","Spanish (Mexican)","WS","production",17,"All Data","X0.75",119.99999999996
"48","Spanish (Mexican)","WS","production",18,"All Data","X0.75",156.282051282162
"49","Spanish (Mexican)","WS","production",19,"All Data","X0.75",192.209401709575
"50","Spanish (Mexican)","WS","production",20,"All Data","X0.75",227.7820512822
"51","Spanish (Mexican)","WS","production",21,"All Data","X0.75",263.00000000004
"52","Spanish (Mexican)","WS","production",22,"All Data","X0.75",297.863247863094
"53","Spanish (Mexican)","WS","production",23,"All Data","X0.75",332.371794871363
"54","Spanish (Mexican)","WS","production",24,"All Data","X0.75",366.52564102485
"55","Spanish (Mexican)","WS","production",25,"All Data","X0.75",400.324786323553
"56","Spanish (Mexican)","WS","production",26,"All Data","X0.75",433.769230767474
"57","Spanish (Mexican)","WS","production",27,"All Data","X0.75",466.858974356613
"58","Spanish (Mexican)","WS","production",28,"All Data","X0.75",499.59401709097
"59","Spanish (Mexican)","WS","production",29,"All Data","X0.75",531.974358970548
"60","Spanish (Mexican)","WS","production",30,"All Data","X0.75",563.999999995346
"61","Spanish (Mexican)","WS","production",16,"All Data","X0.90",161.875000026262
"62","Spanish (Mexican)","WS","production",17,"All Data","X0.90",208.00000002151
"63","Spanish (Mexican)","WS","production",18,"All Data","X0.90",252.375000017069
"64","Spanish (Mexican)","WS","production",19,"All Data","X0.90",295.00000001299
"65","Spanish (Mexican)","WS","production",20,"All Data","X0.90",335.875000009308
"66","Spanish (Mexican)","WS","production",21,"All Data","X0.90",375.000000006055
"67","Spanish (Mexican)","WS","production",22,"All Data","X0.90",412.375000003255
"68","Spanish (Mexican)","WS","production",23,"All Data","X0.90",448.000000000928
"69","Spanish (Mexican)","WS","production",24,"All Data","X0.90",481.874999999092
"70","Spanish (Mexican)","WS","production",25,"All Data","X0.90",513.99999999776
"71","Spanish (Mexican)","WS","production",26,"All Data","X0.90",544.374999996948
